,AAPL,ABEV,ABT,ADBE,ADP,AGRO,AIG,AMD,AMGN,AMX,AMZN,ARCO,AUY,AVY,AXP,AZN,BA,BABA,BAC,BBD,BBVA,BCS,BG,BHP,BIDU,BIIB,BMY,BP,BRFS,BSBR,C,CAR,CAT,CBD,CDE,CHA,CHL,CL,COST,CRM,CS,CSCO,CVX,CX,DD,DE,DEO,DESP,DIS,EBAY,ERIC,ERJ,FB,FCX,FDX,FMX,GE,GGB,GILD,GLOB,GOLD,GOOGL,GRMN,GS,GSK,HD,HL,HMC,HMY,HNP,HON,HPQ,HSBC,IBM,IBN,INFY,ING,INTC,ITUB,JD,JNJ,JPM,KMB,KO,KOF,LLY,LMT,LVS,LYG,MCD,MDT,MELI,MMM,MO,MRK,MSFT,MSI,NEM,NFLX,NGG,NKE,NOK,NUE,NVDA,NVS,OGZPY,ORCL,PBR,PEP,PFE,PG,PTR,PYPL,QCOM,RDSB.L,RIO,RTX,SAP,SBS,SBUX,SID,SIEGY,SLB,SNA,SNAP,SNE,SNP,SUZ,T,TEF,TGT,TIIAY,TM,TMO,TOT,TRIP,TRV,TSLA,TSM,TSU,TWTR,TX,TXN,UGP,UN,USB,V,VALE,VIV,VOD,VRSN,VZ,WFC,WMT,X,XOM,XRX,YELP,YZCAY
,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close
Dates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-12-26,72.48,4.71,87.28,331.2,170.35,8.49,50.62,46.63,241.9,16.17,1868.77,8.23,3.9,133.08,125.41,49.85,329.92,216.38,35.52,8.94,5.59,9.42,57.38,54.81,127.58,301.79,63.96,37.98,8.64,11.85,79.83,32.67,148.22,22.23,8.11,40.88,41.73,68.58,295.73,164.51,13.26,47.85,120.6,3.89,63.73,174.8,166.99,13.6,145.7,36.25,8.88,19.42,207.79,13.17,152.49,94.31,11.23,4.83,66.39,109.58,18.36,1362.47,98.07,231.21,46.91,220.82,3.4,28.76,3.56,20.07,176.88,20.69,38.92,134.91,15.1,10.17,12.01,59.82,9.15,36.24,145.83,139.04,137.23,55.02,60.77,131.14,392.3,69.94,3.3,197.06,112.58,597.24,176.59,50.4,91.34,158.67,161.38,42.69,332.63,62.64,100.71,3.62,56.8,239.19,94.81,8.17,53.57,16.13,136.69,39.38,125.22,49.66,109.75,88.4,,59.49,94.85,134.58,15.16,88.08,3.55,65.33,40.07,169.78,15.97,68.02,59.62,9.98,39.16,7.09,128.89,6.32,141.53,325.71,55.11,30.35,136.29,86.19,58.25,19.21,32.63,22.72,128.48,6.32,56.97,60.15,189.16,13.49,14.52,19.41,193.71,61.29,54.15,119.52,11.43,70.13,37.48,34.66,8.9
2019-12-27,72.45,4.71,87.4,330.79,170.77,8.39,51.07,46.18,241.53,16.31,1869.8,8.3,3.85,131.61,125.19,50.44,330.14,215.47,35.35,8.9,5.59,9.45,57.37,54.93,126.45,300.09,64.14,37.86,8.64,11.89,79.67,32.39,148.28,21.69,7.97,41.6,42.07,69.18,294.11,164.98,13.41,47.77,120.3,3.85,63.73,175.81,169.01,13.57,145.75,36.07,8.86,19.37,208.1,13.03,152.53,94.74,11.18,4.82,65.95,107.94,18.37,1354.64,98.52,230.66,47.29,219.97,3.31,28.58,3.57,19.95,176.48,20.53,39.0,135.27,15.28,10.26,12.03,60.08,9.11,35.93,145.75,139.14,138.07,55.35,60.95,131.52,393.6,69.74,3.29,198.17,113.35,599.24,177.26,50.4,91.5,158.96,161.45,42.71,329.09,62.92,101.57,3.63,56.68,236.87,95.37,8.23,53.46,15.92,137.54,39.32,126.09,50.06,109.4,88.8,,59.35,94.58,134.98,15.1,88.13,3.43,65.81,40.0,169.2,16.03,67.78,60.0,9.88,39.24,7.16,129.21,6.21,141.28,326.55,54.98,30.29,136.8,86.08,58.46,19.06,32.55,22.21,128.57,6.31,57.97,59.73,189.39,13.22,14.39,19.62,194.05,61.53,53.92,119.59,11.14,69.89,37.31,34.85,8.95
2019-12-30,72.88,4.65,86.8,328.34,169.59,8.35,51.0,45.52,240.27,16.07,1846.89,8.3,3.95,130.98,124.3,50.01,326.4,212.91,35.15,8.95,5.56,9.42,57.15,54.72,126.29,296.01,63.73,37.6,8.7,12.21,79.51,32.68,147.52,21.75,8.05,41.24,42.19,68.79,295.14,162.44,13.43,47.59,119.85,3.79,62.29,174.16,168.42,13.42,143.77,35.8,8.76,19.6,204.41,13.01,150.14,94.56,11.08,4.91,64.93,106.1,18.61,1339.71,97.95,229.8,47.08,217.31,3.38,28.27,3.63,19.83,176.42,20.49,38.98,132.81,15.13,10.16,12.0,59.62,9.15,35.4,145.3,138.63,136.89,55.27,60.47,131.3,391.9,69.3,3.3,196.91,112.93,583.85,175.83,49.89,91.03,157.59,160.96,43.75,323.31,62.65,100.8,3.69,56.08,232.32,94.55,8.16,52.7,15.9,136.81,38.91,124.47,49.57,107.97,88.43,2247.5,59.17,94.32,133.39,15.07,87.44,3.48,64.67,40.4,168.84,15.89,67.72,59.68,9.9,39.04,7.08,128.89,6.15,140.61,325.04,55.09,30.02,136.49,82.94,57.85,19.28,32.03,22.09,127.66,6.28,57.68,59.17,187.83,13.19,14.36,19.34,192.33,61.21,53.6,119.4,11.24,69.48,36.9,34.58,9.25
2019-12-31,73.41,4.66,86.86,329.81,170.5,8.37,51.33,45.86,241.07,16.0,1847.84,8.1,3.95,130.82,124.49,49.86,325.76,212.1,35.22,8.95,5.58,9.52,57.55,54.71,126.4,296.73,64.19,37.74,8.7,12.13,79.89,32.24,147.68,21.87,8.08,41.19,42.27,68.84,293.92,162.64,13.45,47.96,120.51,3.78,64.2,173.26,168.42,13.48,144.63,36.11,8.78,19.49,205.25,13.12,151.21,94.51,11.16,4.9,64.98,106.05,18.59,1339.39,97.56,229.93,46.99,218.38,3.39,28.31,3.63,20.09,177.0,20.55,39.09,134.04,15.09,10.32,12.05,59.85,9.15,35.23,145.87,139.4,137.55,55.35,60.62,131.43,389.38,69.04,3.31,197.61,113.45,571.94,176.42,49.91,90.95,157.7,161.14,43.45,323.57,62.67,101.31,3.71,56.28,235.3,94.69,8.22,52.98,15.94,136.67,39.18,124.9,50.33,108.17,88.23,2239.5,59.36,94.25,133.99,15.05,87.92,3.45,64.97,40.2,169.4,16.33,68.0,60.15,9.84,39.08,6.97,128.21,6.18,140.54,324.87,55.3,30.38,136.95,83.67,58.1,19.11,32.05,22.0,128.29,6.26,57.46,59.29,187.9,13.2,14.32,19.33,192.68,61.4,53.8,118.84,11.41,69.78,36.87,34.83,9.0
2020-01-02,75.09,4.73,86.95,334.43,170.32,8.13,51.76,49.1,240.1,16.26,1898.01,8.16,3.91,129.31,125.85,50.39,333.32,219.77,35.64,9.23,5.72,9.76,57.56,54.92,138.22,294.24,63.34,38.14,8.86,12.64,81.23,33.33,150.53,22.2,7.81,41.53,42.44,68.12,291.49,166.99,13.75,48.42,121.43,3.84,63.5,176.86,166.75,13.78,148.2,36.3,9.01,20.03,209.78,13.2,155.1,96.25,11.93,5.09,65.23,107.74,18.49,1368.68,98.34,234.32,46.92,219.66,3.42,28.64,3.69,20.45,180.79,20.79,39.37,135.42,15.23,10.29,12.43,60.84,9.38,37.73,145.97,141.09,135.83,54.99,61.35,132.21,399.37,70.8,3.34,200.79,114.56,610.19,180.0,49.25,92.04,160.62,161.63,43.22,329.81,62.34,102.2,3.87,55.12,239.91,94.95,8.46,53.95,16.27,135.82,39.14,123.41,51.11,110.75,88.69,2258.5,59.89,96.38,136.81,14.98,89.35,3.62,66.51,40.17,169.0,16.78,69.06,61.22,10.15,38.86,7.09,126.07,6.2,142.24,326.37,55.27,30.26,137.51,86.05,60.04,19.61,32.3,22.72,129.57,6.38,57.38,59.2,191.12,13.45,14.15,19.43,196.73,61.05,53.75,118.94,10.82,70.9,36.93,34.77,9.14
2020-01-03,74.36,4.67,85.89,331.81,169.96,8.29,51.36,48.6,238.47,16.24,1874.97,7.97,3.88,128.51,124.6,50.09,332.76,217.0,34.9,9.25,5.58,9.51,57.94,54.55,133.8,290.85,62.78,38.83,8.79,12.59,79.7,32.67,148.44,22.16,7.7,40.95,41.74,68.02,291.73,166.17,13.48,47.63,121.01,3.8,62.16,175.55,166.41,13.93,146.5,35.96,8.85,20.05,208.67,12.8,153.18,96.66,11.97,4.96,65.07,108.58,18.57,1361.52,97.71,231.58,46.48,218.93,3.35,28.13,3.72,20.2,178.86,20.53,38.76,134.34,14.92,10.31,12.2,60.1,9.3,37.99,144.28,138.34,135.79,54.69,61.37,131.77,413.74,69.72,3.3,200.08,113.88,607.8,178.45,49.63,91.25,158.62,164.38,42.83,325.9,62.2,101.92,3.81,54.39,236.07,94.79,8.26,53.76,15.99,135.63,38.93,122.58,51.62,108.76,87.02,2306.5,58.84,96.51,133.98,14.72,88.83,3.54,64.75,40.56,167.09,16.75,68.08,61.52,9.98,39.06,7.08,124.76,6.16,140.75,322.82,55.47,30.17,137.02,88.6,58.06,19.5,31.52,22.32,127.85,6.23,57.26,58.51,189.6,13.29,14.09,19.29,200.88,60.4,53.42,117.89,10.74,70.33,36.45,34.72,9.15
2020-01-06,74.95,4.62,86.34,333.71,170.19,8.35,51.4,48.39,240.3,16.16,1902.88,8.15,3.87,126.89,124.06,49.88,333.74,216.64,34.85,9.01,5.62,9.49,57.52,54.49,135.94,290.82,62.98,39.85,8.66,11.64,79.45,32.87,148.34,21.97,6.93,40.39,41.37,68.49,291.81,173.45,13.53,47.8,120.6,3.84,61.72,176.81,167.72,13.84,145.65,35.78,8.91,19.99,212.6,12.85,153.3,97.19,12.14,4.96,65.65,107.64,18.39,1397.81,97.69,233.95,46.5,219.96,3.31,28.05,3.78,20.16,177.51,20.61,38.63,134.1,14.72,10.21,12.19,59.93,9.1,38.0,144.1,138.23,136.09,54.67,61.29,132.26,413.11,70.09,3.33,202.33,114.89,606.55,178.62,49.83,91.64,159.03,166.92,43.26,335.83,62.17,101.83,3.94,53.93,237.06,95.43,8.27,54.04,16.22,136.15,38.88,122.75,53.37,110.17,86.51,2313.5,58.45,96.71,134.2,14.36,88.13,3.45,65.01,40.82,165.86,16.78,69.11,61.95,9.81,39.1,7.08,123.58,6.11,140.77,325.14,56.51,30.06,137.17,90.31,57.39,19.33,31.64,21.71,126.96,6.09,57.16,57.71,189.19,13.14,13.95,19.34,202.74,60.27,53.1,117.65,10.79,70.87,35.9,34.44,9.27
2020-01-07,74.6,4.63,85.86,333.39,168.13,8.39,51.11,48.25,238.04,15.92,1906.86,8.09,3.93,126.61,123.41,50.07,337.28,217.63,34.62,8.85,5.54,9.51,57.04,54.49,136.7,290.09,63.93,39.43,8.6,11.57,78.76,33.02,146.38,21.83,6.89,40.16,41.01,67.55,291.35,176.0,13.79,47.49,119.06,3.76,60.77,173.74,166.28,13.79,145.7,35.62,8.82,20.16,213.06,13.05,154.8,97.6,12.05,5.03,65.12,109.18,18.47,1395.11,97.54,235.49,46.21,218.52,3.41,28.21,3.87,20.04,177.61,20.66,38.34,134.19,14.58,10.1,12.21,58.93,8.88,38.32,144.98,135.88,135.97,54.25,61.13,132.51,414.5,70.16,3.3,202.63,114.49,625.0,177.9,49.57,89.2,157.58,165.72,43.23,330.75,61.9,101.78,3.95,53.81,239.93,94.48,8.24,54.16,16.06,134.01,38.75,121.99,52.86,109.67,88.97,2299.0,58.39,96.41,133.62,14.08,87.86,3.46,64.74,40.61,164.79,17.03,70.2,61.66,10.02,39.25,6.96,123.8,6.02,141.51,326.98,56.19,30.47,135.16,93.81,58.32,19.49,32.54,21.48,129.41,6.21,56.12,57.16,188.69,13.23,13.93,19.21,203.21,59.6,52.66,116.56,11.13,70.29,35.95,34.57,9.41
